"","Distance","Performance","cluster"
"1",-0.766207992327445,-3.4641200869066,1
"2",-0.953968711115253,-3.41046656296748,1
"3",1.9956219666522,-3.47777530087814,2
"4",-0.82520370355769,-3.43357654829568,1
"5",-0.450567394590311,-3.44635597659086,1
"6",-0.652687672733919,-3.45107418618787,1
"7",-0.57207871266498,-3.46996942749786,1
"8",-0.377363785131378,-3.44533536641723,1
"9",-0.244158734798344,-3.48545708687478,1
"10",-0.99959034209893,-3.41338295518046,1
"11",0.192184826938135,-3.50842021394532,1
"12",-0.500606061451113,-3.47738908841305,1
"13",-0.456902753961154,-3.43721790293763,1
"14",-0.328734875731361,-3.45672325211461,1
"15",-0.648933040401579,-3.4737352009971,1
"16",-0.304931731325111,-3.48816272894847,1
"17",-0.646981693428242,-3.46718125904663,1
"18",2.85060815135246,-3.50704183881524,2
"19",-0.856004846890034,-3.4311976338569,1
"20",-0.774973457388003,-3.42407518570099,1
"21",-0.880117470857008,-3.43172823117263,1
"22",2.13612187566413,-3.47907512975475,2
"23",2.13123978027975,-3.47590150975746,2
"24",-0.816427969870927,-3.43035705542535,1
"25",0.0702049713116617,-3.46187904998856,1
"26",-0.72786141534286,-3.47038784681075,1
"27",-1.00963669354367,-3.42959423290336,1
"28",-0.805310455208274,-3.41089118784161,1
"29",-0.374574135215696,-3.4435752531358,1
"30",-0.849045116739422,-3.44165516999745,1
"31",2.14215284295525,-3.4864216309321,2
"32",-0.592271453575798,-3.43999698195542,1
"33",-0.719543000129078,-3.44338241388433,1
"34",-0.573815857688466,-3.45874840575518,1
"35",-0.804149128960704,-3.44909012239577,1
"36",-0.0208234365990849,-3.47297758475805,1
"37",-0.525885485969183,-3.44050186921802,1
"38",2.55399290097674,-3.54148026154309,2
"39",-0.874126267163025,-3.43102992221879,1
"40",-0.305072552256828,-3.46719329044681,1
"41",-0.43864808731153,-3.45033717599786,1
"42",-0.674060973468907,-3.44660086831985,1
"43",-0.33786006023524,-3.46179482756873,1
"44",-0.91769548448312,-3.43913177725205,1
"45",-0.59407169264841,-3.45724046413402,1
"46",-0.323074355645806,-3.44762805954253,1
"47",-0.299269417051508,-3.44058710764114,1
"48",0.149834166685937,-3.4637592744301,1
"49",-0.419100971197679,-3.46301154908418,1
"50",-0.784053808959551,-3.46021949009583,1
"51",-0.565851921804348,-3.43950034468283,1
"52",-0.645904587443635,-3.45427478111589,1
"53",-0.73928595004744,-3.45702250066235,1
"54",-0.294739442127393,-3.46431201292413,1
"55",-0.860980335925643,-3.42434339219058,1
"56",-0.272410686185567,-3.45532521554249,1
"57",-0.749585975437623,-3.45380153761383,1
"58",-0.645095233281952,-3.45778518674709,1
"59",-0.978449292155497,-3.42624029305547,1
"60",2.4157098551084,-3.51564297615752,2
"61",2.56572471487588,-3.5217257742069,2
"62",-0.437230009092828,-3.43974179879333,1
"63",-0.424538026466991,-3.45039501527385,1
"64",-0.847008724780101,-3.43507585931709,1
"65",2.56967377150361,-3.48728255779304,2
"66",2.65900244036396,-3.48243629839547,2
"67",-0.974274823462375,-3.42535577638966,1
"68",-0.197493405990529,-3.46772982830938,1
"69",-0.566758248122807,-3.4418859955477,1
"70",-0.764560725836095,-3.44426853253512,1
"71",-0.900751759057263,-3.43996488027208,1
"72",2.23854242697688,-3.49783994705912,2
"73",2.45702320368545,-3.53647834234091,2
"74",2.54269609659202,-3.50572945446735,2
"75",-0.338958693093944,-3.44514717280954,1
"76",-0.383962568377079,-3.44103081139249,1
"77",3.0120503378064,-3.49729828696602,2
"78",-0.178371732166895,-3.46410738938626,1
"79",-0.532831032542793,-3.44513333530752,1
"80",2.70146813343443,-3.49941263648741,2
"81",-1.0762478927818,-3.41514260920685,1
"82",2.27420138699963,-3.46609143088641,2
"83",2.60937726452472,-3.48558020839894,2
"84",-0.576668296001675,-3.46727499346839,1
"85",2.03117310381135,-3.46203389131376,2
"86",-0.497879585023074,-3.49759480772866,1
"87",-0.917088038087706,-3.43317849991655,1
"88",-0.525328671409366,-3.46402495579565,1
"89",-0.634405037553123,-3.46031471892548,1
"90",-0.396691801867374,-3.45296611976369,1
"91",-0.648210611305096,-3.44269314601625,1
"92",-0.581356536863483,-3.47705104364326,1
"93",-1.0486199617491,-3.41633533404256,1
"94",2.07978646282724,-3.50088044517313,2
"95",-0.364698119218368,-3.46339565624592,1
"96",2.48393091577679,-3.51462726559063,2
"97",-0.463808265296943,-3.45007101848079,1
"98",-0.689195924313847,-3.4539065952099,1
"99",2.65583751316464,-3.51739370311797,2
"100",-0.727301603566878,-3.46584632063919,1
"101",-0.0507761230185553,-3.49017281648529,1
"102",-0.688251293623088,-3.44931320473916,1
"103",-0.645767269466452,-3.46012967691463,1
"104",-0.712672078112984,-3.44476417332099,1
"105",-0.389127032127301,-3.44153111473101,1
"106",-0.904708299871607,-3.43238937412656,1
"107",-0.819090360672884,-3.43119070413248,1
"108",-0.375556997664764,-3.44009465433141,1
"109",-0.433157795018106,-3.43618927177588,1
"110",-0.702182903576633,-3.44888498970331,1
"111",-0.405102842484155,-3.48810758465039,1
"112",-0.348593111088062,-3.46071451006519,1
"113",-0.912764498643319,-3.44359346225859,1
"114",-0.773466512247661,-3.47300083703216,1
"115",-0.845085063893532,-3.43982917739508,1
"116",2.46962137902169,-3.50584054923818,2
"117",-0.622177492421394,-3.4145557306814,1
"118",2.34458929981083,-3.49298686865263,2
"119",-0.669748898786843,-3.45908530812799,1
"120",2.23205781169564,-3.47613541307393,2
"121",-0.109703733471836,-3.4765988473165,1
"122",-0.793629211030976,-3.45301283597131,1
"123",-0.364047886853585,-3.4697654941301,1
"124",-0.687344897527323,-3.44468382288589,1
"125",-0.412132369006967,-3.42685026870271,1
"126",-0.642508322689838,-3.42608936317955,1
"127",-0.561161280404193,-3.45887976826113,1
"128",-0.506989350482202,-3.42522198259337,1
"129",-0.740024695083161,-3.44911900321775,1
"130",-0.841080628435376,-3.42757219334665,1
"131",-0.77379184406088,-3.45036683019619,1
"132",-0.734481632596568,-3.44577025536163,1
"133",-0.410428255616088,-3.44395545329535,1
"134",-0.69104622142424,-3.44480106778911,1
"135",-0.635857362427655,-3.45781962200507,1
"136",-0.542489146787926,-3.45240957601747,1
"137",-0.986395732007566,-3.41617468838735,1
"138",-0.569428745275548,-3.43204132366609,1
"139",-0.847007349233878,-3.42968755962635,1
"140",-0.454936861248623,-3.45732393596373,1
"141",-0.323412019940044,-3.44945471855352,1
"142",-0.195358167112749,-3.47462365458679,1
"143",-0.329875175705967,-3.45281670252038,1
"144",-0.951700575564749,-3.42639321250059,1
"145",-0.620184255414755,-3.42227622773546,1
"146",-0.757354524008881,-3.44529942008146,1
"147",-0.570082009156867,-3.48768028347085,1
"148",-0.552312493199361,-3.45731354896812,1
"149",-0.778039141237029,-3.45283132479079,1
"150",-0.798551242769413,-3.41697154853354,1
"151",-0.849959797118389,-3.4199249230628,1
"152",-0.761695503060745,-3.45811299550216,1
"153",2.34679527945989,-3.50951600495124,2
"154",-0.486084602365932,-3.46206418899311,1
"155",2.28133568753509,-3.48628068001046,2
"156",-0.762297205865904,-3.47388315225102,1
"157",-0.779986280172531,-3.43041215987323,1
"158",-0.550657544959431,-3.45147580956233,1
"159",-0.689798532295927,-3.45112040758669,1
"160",-0.807799365451442,-3.42576308743752,1
"161",-0.241779662075021,-3.4838361827333,1
"162",-0.787145735458178,-3.41481455892162,1
"163",-0.94178799523296,-3.42573776381122,1
"164",-0.696350944069252,-3.44735416533713,1
"165",-0.878278627428415,-3.42193005799929,1
"166",-0.818313849587478,-3.43717137108977,1
"167",-0.640286179519611,-3.4562603812794,1
"168",-0.451693254120898,-3.44799734514553,1
"169",-0.477764033426887,-3.47594365090902,1
"170",-0.684363668033028,-3.45206966264858,1
"171",-0.175250864894126,-3.4694126816805,1
"172",-0.462445107813558,-3.45356615476023,1
"173",-0.68375430598894,-3.43292418768792,1
"174",-0.43486985879051,-3.45822278803284,1
"175",2.80461595203712,-3.49395372617928,2
"176",2.05972065179889,-3.48038147923092,2
"177",-0.752226944311112,-3.44111913288694,1
"178",2.41536716027112,-3.51617905673806,2
"179",-0.403267884844286,-3.47477011160094,1
"180",2.0472605563986,-3.47508336470652,2
"181",-0.593777643744448,-3.46029839451877,1
"182",-0.912875300491521,-3.4346874195294,1
"183",-0.59475437267756,-3.46962567664157,1
"184",-0.388095054176167,-3.44961526792245,1
"185",2.22483811895384,-3.486499868056,2
"186",2.10300779721528,-3.49460503783466,2
"187",-0.319951032626053,-3.45354240610217,1
"188",-0.34737579536158,-3.45300073756486,1
"189",-0.596827361494059,-3.46755103128105,1
"190",-0.941832600753376,-3.43172614042654,1
"191",-0.703454374445015,-3.46854044417118,1
"192",-0.660972882510305,-3.47406760292373,1
"193",2.55006344758019,-3.50577495290988,2
"194",2.24652403982542,-3.51368913491611,2
"195",-0.430414955671287,-3.45084340954486,1
"196",2.61376959162887,-3.49254693636919,2
"197",-0.437664971947443,-3.45919004538373,1
"198",-0.198274839598755,-3.45580410182081,1
"199",-1.01898415264028,-3.43322389747564,1
"200",-0.74929562682212,-3.45174036178875,1
"201",-0.766207992327445,-3.39879322009271,1
"202",-0.953968711115253,-3.6325428094003,1
"203",1.9956219666522,-3.20795783498955,3
"204",-0.82520370355769,-3.52477146679202,1
"205",-0.450567394590311,-3.4699026144114,1
"206",-0.652687672733919,-3.45003392982942,1
"207",-0.57207871266498,-3.37733042114452,1
"208",-0.377363785131378,-3.47305327033006,1
"209",-0.244158734798344,-3.32084084276807,1
"210",-0.99959034209893,-3.61434182976698,1
"211",0.192184826938135,-3.24279726379107,0
"212",-0.500606061451113,-3.34790787917081,1
"213",-0.456902753961154,-3.50748629893495,1
"214",-0.328734875731361,-3.42531730303952,1
"215",-0.648933040401579,-3.3606364862337,1
"216",-0.304931731325111,-3.31121911151131,1
"217",-0.646981693428242,-3.38366152492152,1
"218",2.85060815135246,-3.10456175031281,3
"219",-0.856004846890034,-3.53396061895969,1
"220",-0.774973457388003,-3.56681649226708,1
"221",-0.880117470857008,-3.5299475876659,1
"222",2.13612187566413,-3.19253707979488,3
"223",2.13123978027975,-3.1914292868586,3
"224",-0.816427969870927,-3.53690687436534,1
"225",0.0702049713116617,-3.39980761567843,1
"226",-0.72786141534286,-3.37257563530411,1
"227",-1.00963669354367,-3.5401198136208,1
"228",-0.805310455208274,-3.62146429265171,1
"229",-0.374574135215696,-3.48169925272683,1
"230",-0.849045116739422,-3.48882133770757,1
"231",2.14215284295525,-3.16520708750464,3
"232",-0.592271453575798,-3.49194195529637,1
"233",-0.719543000129078,-3.48293866002238,1
"234",-0.573815857688466,-3.41520449595192,1
"235",-0.804149128960704,-3.45563272859522,1
"236",-0.0208234365990849,-3.36503402903593,1
"237",-0.525885485969183,-3.49420475670938,1
"238",2.55399290097674,-3.02224654199687,0
"239",-0.874126267163025,-3.53472472546353,1
"240",-0.305072552256828,-3.38724636302921,1
"241",-0.43864808731153,-3.44848197817782,1
"242",-0.674060973468907,-3.46588907151736,1
"243",-0.33786006023524,-3.40530784996947,1
"244",-0.91769548448312,-3.49942051528091,1
"245",-0.59407169264841,-3.42604216494329,1
"246",-0.323074355645806,-3.46164609442345,1
"247",-0.299269417051508,-3.49297809461698,1
"248",0.149834166685937,-3.39809857107947,1
"249",-0.419100971197679,-3.40081631783144,1
"250",-0.784053808959551,-3.41292333660114,1
"251",-0.565851921804348,-3.49785313124786,1
"252",-0.645904587443635,-3.43611106429796,1
"253",-0.73928595004744,-3.42401456237988,1
"254",-0.294739442127393,-3.3910306587172,1
"255",-0.860980335925643,-3.56361107620381,1
"256",-0.272410686185567,-3.43276840864376,1
"257",-0.749585975437623,-3.43594581555619,1
"258",-0.645095233281952,-3.41815315546411,1
"259",-0.978449292155497,-3.55310316678506,1
"260",2.4157098551084,-3.08850597931333,3
"261",2.56572471487588,-3.08098848125555,3
"262",-0.437230009092828,-3.49671800478567,1
"263",-0.424538026466991,-3.44987590644638,1
"264",-0.847008724780101,-3.51865811482611,1
"265",2.56967377150361,-3.11563875943349,3
"266",2.65900244036396,-3.19071921082117,0
"267",-0.974274823462375,-3.55737929206892,1
"268",-0.197493405990529,-3.38414758424392,1
"269",-0.566758248122807,-3.4861304644464,1
"270",-0.764560725836095,-3.47529411491389,1
"271",-0.900751759057263,-3.49375767753651,1
"272",2.23854242697688,-3.14130857348444,3
"273",2.45702320368545,-3.0552508495389,3
"274",2.54269609659202,-3.12417972935139,3
"275",-0.338958693093944,-3.47114843711456,1
"276",-0.383962568377079,-3.48824807789842,1
"277",3.0120503378064,-3.12517817490508,3
"278",-0.178371732166895,-3.39815391285855,1
"279",-0.532831032542793,-3.47076697910044,1
"280",2.70146813343443,-3.11209936257917,3
"281",-1.0762478927818,-3.60754895335637,1
"282",2.27420138699963,-3.21557038823716,0
"283",2.60937726452472,-3.12632263310276,3
"284",-0.576668296001675,-3.38603060790547,1
"285",2.03117310381135,-3.23674731734571,0
"286",-0.497879585023074,-3.2777522096737,0
"287",-0.917088038087706,-3.52602220514729,1
"288",-0.525328671409366,-3.39861757275773,1
"289",-0.634405037553123,-3.41207568994181,1
"290",-0.396691801867374,-3.43922967157128,1
"291",-0.648210611305096,-3.48430746187935,1
"292",-0.581356536863483,-3.34879696780432,1
"293",-1.0486199617491,-3.60294873958785,1
"294",2.07978646282724,-3.11005176786155,3
"295",-0.364698119218368,-3.40253048966913,1
"296",2.48393091577679,-3.09643343832392,3
"297",-0.463808265296943,-3.45124137621788,1
"298",-0.689195924313847,-3.43763903812905,1
"299",2.65583751316464,-3.04994457827624,3
"300",-0.727301603566878,-3.39099367814015,1
"301",-0.0507761230185553,-3.30326581917191,1
"302",-0.688251293623088,-3.45673702869619,1
"303",-0.645767269466452,-3.41415862244615,1
"304",-0.712672078112984,-3.47474656307623,1
"305",-0.389127032127301,-3.48776484778348,1
"306",-0.904708299871607,-3.52985603663242,1
"307",-0.819090360672884,-3.52638668904863,1
"308",-0.375556997664764,-3.49396215319795,1
"309",-0.433157795018106,-3.51178150190475,1
"310",-0.702182903576633,-3.45533418017595,1
"311",-0.405102842484155,-3.31121533924104,1
"312",-0.348593111088062,-3.40843097899073,1
"313",-0.912764498643319,-3.48058403336499,1
"314",-0.773466512247661,-3.36175001917565,1
"315",-0.845085063893532,-3.49648020325011,1
"316",2.46962137902169,-3.13628921422401,3
"317",-0.622177492421394,-3.60870834756955,1
"318",2.34458929981083,-3.15115732701632,3
"319",-0.669748898786843,-3.41297506605622,1
"320",2.23205781169564,-3.228735788982,0
"321",-0.109703733471836,-3.35287271245668,1
"322",-0.793629211030976,-3.44011472150442,1
"323",-0.364047886853585,-3.37392260369472,1
"324",-0.687344897527323,-3.47614049333882,1
"325",-0.412132369006967,-3.55209102192665,1
"326",-0.642508322689838,-3.55616402322954,1
"327",-0.561161280404193,-3.41596711019099,1
"328",-0.506989350482202,-3.56033473750402,1
"329",-0.740024695083161,-3.45797129875445,1
"330",-0.841080628435376,-3.55018193753911,1
"331",-0.77379184406088,-3.45077099219749,1
"332",-0.734481632596568,-3.47054082734642,1
"333",-0.410428255616088,-3.47897679984928,1
"334",-0.69104622142424,-3.47397194760437,1
"335",-0.635857362427655,-3.42293718900058,1
"336",-0.542489146787926,-3.44571646409589,1
"337",-0.986395732007566,-3.60498821209647,1
"338",-0.569428745275548,-3.52780242170096,1
"339",-0.847007349233878,-3.5357866429199,1
"340",-0.454936861248623,-3.42339010286666,1
"341",-0.323412019940044,-3.45566164232337,1
"342",-0.195358167112749,-3.35840482988201,1
"343",-0.329875175705967,-3.43985259220022,1
"344",-0.951700575564749,-3.55615091643722,1
"345",-0.620184255414755,-3.57161976033155,1
"346",-0.757354524008881,-3.473243067969,1
"347",-0.570082009156867,-3.31108979685157,1
"348",-0.552312493199361,-3.4235860753738,1
"349",-0.778039141237029,-3.44207369263894,1
"350",-0.798551242769413,-3.59963128952927,1
"351",-0.849959797118389,-3.58670133144467,1
"352",-0.761695503060745,-3.42054956143194,1
"353",2.34679527945989,-3.09324062392456,3
"354",-0.486084602365932,-3.40300594770076,1
"355",2.28133568753509,-3.14710330486562,3
"356",-0.762297205865904,-3.36222955917134,1
"357",-0.779986280172531,-3.53818268420133,1
"358",-0.550657544959431,-3.44761671569426,1
"359",-0.689798532295927,-3.45000782648028,1
"360",-0.807799365451442,-3.56043534074749,1
"361",-0.241779662075021,-3.32533950492632,1
"362",-0.787145735458178,-3.60766630329901,1
"363",-0.94178799523296,-3.55758647179917,1
"364",-0.696350944069252,-3.46359613124157,1
"365",-0.878278627428415,-3.5772173827451,1
"366",-0.818313849587478,-3.50205280566218,1
"367",-0.640286179519611,-3.42677218368749,1
"368",-0.451693254120898,-3.46075910604806,1
"369",-0.477764033426887,-3.35407370586351,1
"370",-0.684363668033028,-3.44456845712178,1
"371",-0.175250864894126,-3.37685030243193,1
"372",-0.462445107813558,-3.44016227880216,1
"373",-0.68375430598894,-3.52422121112045,1
"374",-0.43486985879051,-3.41954345815814,1
"375",2.80461595203712,-3.08351143993541,3
"376",2.05972065179889,-3.17714108738353,3
"377",-0.752226944311112,-3.49139771540982,1
"378",2.41536716027112,-3.10463276314125,3
"379",-0.403267884844286,-3.3583941443336,1
"380",2.0472605563986,-3.2153663650178,3
"381",-0.593777643744448,-3.41061651521375,1
"382",-0.912875300491521,-3.51462602538427,1
"383",-0.59475437267756,-3.37586513988187,1
"384",-0.388095054176167,-3.45192272926413,1
"385",2.22483811895384,-3.16070019586816,3
"386",2.10300779721528,-3.12882610226277,3
"387",-0.319951032626053,-3.43845981343229,1
"388",-0.34737579536158,-3.43836798095653,1
"389",-0.596827361494059,-3.38392593167938,1
"390",-0.941832600753376,-3.52936766292352,1
"391",-0.703454374445015,-3.38151075247344,1
"392",-0.660972882510305,-3.3589980718863,1
"393",2.55006344758019,-3.09071049753115,3
"394",2.24652403982542,-3.10055020522202,3
"395",-0.430414955671287,-3.44969746853576,1
"396",2.61376959162887,-3.16873176753867,3
"397",-0.437664971947443,-3.41580746192387,1
"398",-0.198274839598755,-3.43009355475077,1
"399",-1.01898415264028,-3.52387961519598,1
"400",-0.74929562682212,-3.44326999934299,1
